,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,new_positive_cases,new_deaths,total_hospitalized,intensive_care,total_currently_positive_per_100k,ncumul_ICU_intub,deaths_per_100k,released,deaths,ncumul_vent,TotalPosTests1,TotalCured,ncumul_confirmed_non_resident,ninst_hosp_non_resident,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,source,doubling_time_total_positive,doubling_time_fatalities
9,2020-04-13 11:50:09,2020-02-28 14:00:00,,AG,Aargau,01,47.40966,8.15688,1,1,,0,0,,,0.15,0,,,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/20200228_KFS_20200106_Coronavirus_Lagebulletin_AG_Unterschrieben.pdf,0.0,0.0
34,2020-04-13 11:50:09,2020-03-02 17:00:00,,AG,Aargau,01,47.40966,8.15688,2,2,,0,0,,,0.3,0,,,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/200302_KFS_Coronavirus_Lagebulletin_2.pdf,0.0,0.0
46,2020-04-13 11:50:09,2020-03-03 14:00:00,,AG,Aargau,01,47.40966,8.15688,6,6,,0,0,,,0.89,0,,,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200303_KFS_Coronavirus_Lagebulletin_3.pdf,0.0,0.0
59,2020-04-13 11:50:09,2020-03-04 14:00:00,,AG,Aargau,01,47.40966,8.15688,7,7,,0,0,,,1.04,0,,,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200304_KFS_Coronavirus_Lagebulletin_4.pdf,0.0,0.0
74,2020-04-13 11:50:09,2020-03-05 14:00:00,,AG,Aargau,01,47.40966,8.15688,9,9,,0,0,,,1.34,0,,,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_5.pdf,0.0,0.0
88,2020-04-13 11:50:09,2020-03-06 14:00:00,,AG,Aargau,01,47.40966,8.15688,12,12,,0,0,,,1.79,0,,1,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_6.pdf,1.394715,0.0
121,2020-04-13 11:50:09,2020-03-09 14:00:00,,AG,Aargau,01,47.40966,8.15688,14,14,,0,0,,,2.09,0,,2,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200309_KFS_Coronavirus_Lagebulletin_7.pdf,1.781036,0.0
135,2020-04-13 11:50:09,2020-03-10 14:00:00,,AG,Aargau,01,47.40966,8.15688,17,17,,0,0,,,2.53,0,,2,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200310_KFS_Coronavirus_Lagebulletin_8.pdf,3.327786,0.0
146,2020-04-13 11:50:09,2020-03-11 14:00:00,,AG,Aargau,01,47.40966,8.15688,18,18,,0,0,,,2.68,0,,2,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200311_KFS_Coronavirus_Lagebulletin_9.pdf,3.669536,0.0
159,2020-04-13 11:50:09,2020-03-12 14:00:00,,AG,Aargau,01,47.40966,8.15688,27,27,,0,0,1,,4.02,0,,3,,,,,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200312_KFS_Coronavirus_Lagebulletin_10.pdf,3.154649,0.0
