,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
10,2020-04-18 16:03:28,2020-02-28 14:00:00,,AG,Aargau,01,47.40966,8.15688,1,1,0,,,0.15,,,0,,,,,,,,,0,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/20200228_KFS_20200106_Coronavirus_Lagebulletin_AG_Unterschrieben.pdf,0.0,0.0
40,2020-04-18 16:03:28,2020-03-02 17:00:00,,AG,Aargau,01,47.40966,8.15688,2,2,0,,,0.3,,,0,,,,,,,,,1,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/200302_KFS_Coronavirus_Lagebulletin_2.pdf,0.0,0.0
53,2020-04-18 16:03:28,2020-03-03 14:00:00,,AG,Aargau,01,47.40966,8.15688,6,6,0,,,0.89,,,0,,,,,,,,,4,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200303_KFS_Coronavirus_Lagebulletin_3.pdf,0.0,0.0
66,2020-04-18 16:03:28,2020-03-04 14:00:00,,AG,Aargau,01,47.40966,8.15688,7,7,0,,,1.04,,,0,,,,,,,,,1,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200304_KFS_Coronavirus_Lagebulletin_4.pdf,0.0,0.0
82,2020-04-18 16:03:28,2020-03-05 14:00:00,,AG,Aargau,01,47.40966,8.15688,9,9,0,,,1.34,,,0,,,,,,,,,2,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_5.pdf,0.0,0.0
96,2020-04-18 16:03:28,2020-03-06 14:00:00,,AG,Aargau,01,47.40966,8.15688,12,12,0,,,1.79,,1,0,,,,,,,,,3,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200305_KFS_Coronavirus_Lagebulletin_6.pdf,1.394715,0.0
129,2020-04-18 16:03:28,2020-03-09 14:00:00,,AG,Aargau,01,47.40966,8.15688,14,14,0,,,2.09,,2,0,,,,,,,,,2,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200309_KFS_Coronavirus_Lagebulletin_7.pdf,1.781036,0.0
143,2020-04-18 16:03:28,2020-03-10 14:00:00,,AG,Aargau,01,47.40966,8.15688,17,17,0,,,2.53,,2,0,,,,,,,,,3,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200310_KFS_Coronavirus_Lagebulletin_8.pdf,3.327786,0.0
154,2020-04-18 16:03:28,2020-03-11 14:00:00,,AG,Aargau,01,47.40966,8.15688,18,18,0,,,2.68,,2,0,,,,,,,,,1,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200311_KFS_Coronavirus_Lagebulletin_9.pdf,3.669536,0.0
167,2020-04-18 16:03:28,2020-03-12 14:00:00,,AG,Aargau,01,47.40966,8.15688,27,27,0,1,,4.02,,3,0,,,,,,,,,9,0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200312_KFS_Coronavirus_Lagebulletin_10.pdf,3.154649,0.0
