,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,new_positive_cases,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,ncumul_ICU_intub,released,deaths,ncumul_vent,TotalPosTests1,TotalCured,ncumul_confirmed_non_resident,ninst_hosp_non_resident,ninst_ICU_intub,ncumul_ICF,ncumul_deceased_suspect,source,doubling_time_total_positive,doubling_time_fatalities
75,2020-04-12 12:03:53,2020-03-05 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,1,1,,0,,,1.81,,0,,,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirusersterfallinappenzellausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=fb1a9cf08108cdc7b82780b9239b009d,0.0,0.0
122,2020-04-12 12:03:53,2020-03-09 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,2,2,,0,,,3.62,,0,,,,,,,,,,,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/zweiter-coronafall-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=de7ec38198b5e60b6dce8fccc7735501,0.0,0.0
160,2020-04-12 12:03:53,2020-03-12 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,5,5,,0,,,9.06,,0,,,,,,,,,,,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-drei-neue-faelle-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=272411484066c8fb971dcc838aa96ef9,0.0,0.0
243,2020-04-12 12:03:53,2020-03-18 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,11,11,,0,3,,19.93,,0,,,,,,,,,,,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-bevoelkerung-und-alle-spitaeler-machen-bei-der-gesundheitsversorgung-mit/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3d2a0733446b5fc7cdad0f48f61c28fd,0.0,0.0
303,2020-04-12 12:03:53,2020-03-21 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,11,11,,0,3,,19.93,1.812,0,,1,,,,,,,,,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-erster-todesfall-in-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=a88f209df29c38474f9c5f9e1c5dd53f,0.0,0.0
337,2020-04-12 12:03:53,2020-03-23 09:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,30,30,,0,7,,54.35,1.812,0,,1,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,1.018975,0.0
361,2020-04-12 12:03:53,2020-03-24 09:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,33,33,,0,6,,59.78,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,1.236279,0.0
386,2020-04-12 12:03:53,2020-03-25 07:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,34,34,,0,6,,61.59,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,1.807969,0.0
412,2020-04-12 12:03:53,2020-03-26 15:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,42,42,,0,6,,76.09,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,2.586806,0.0
439,2020-04-12 12:03:53,2020-03-27 12:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,44,44,,0,6,,79.71,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,2.5,5.0
464,2020-04-12 12:03:53,2020-03-28 07:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,45,45,,0,6,,81.52,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,8.547556,5.0
486,2020-04-12 12:03:53,2020-03-29 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,48,48,,0,6,,86.96,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,9.249524,
509,2020-04-12 12:03:53,2020-03-30 16:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,50,50,,0,6,,90.58,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,8.986448,
535,2020-04-12 12:03:53,2020-03-31 14:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,58,58,,0,6,,105.07,3.623,0,,2,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,10.737366,
561,2020-04-12 12:03:53,2020-04-01 15:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,61,61,,0,6,,110.51,5.435,0,,3,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,10.608825,8.547556
588,2020-04-12 12:03:53,2020-04-02 10:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,64,64,,0,6,,115.94,5.435,0,,3,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,9.839674,8.547556
615,2020-04-12 12:03:53,2020-04-03 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,65,65,,0,6,,117.75,5.435,0,,3,,,,,,,,,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,11.431045,8.547556
