,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
11,2020-05-08 20:03:41,2020-02-28 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1,1,0,,,0.1,,,0,,,,,,,,0,0,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.archiv.meldungNeu.html/portal/de/meldungen/mm/2020/02/20200229_0936_corona.html,0.0,0.0
29,2020-05-08 20:03:41,2020-03-01 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,2,2,0,,,0.19,,,0,,,,,,,,1,0,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200302_1522_zweiter_bestaetigtercorona-fallinbiel,0.0,0.0
42,2020-05-08 20:03:41,2020-03-02 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,4,4,0,,,0.39,,,0,,,,,,,,2,0,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200303_1333_mann_in_spital_interlakenpositivgetestet,0.0,0.0
69,2020-05-08 20:03:41,2020-03-04 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,6,6,0,,,0.58,,,0,,,,,,,,2,0,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200304_1443_corona-4-3-2020,0.0,0.0
100,2020-05-08 20:03:41,2020-03-06 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,17,17,0,,,1.65,,,0,,,,,,,,11,0,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200306_1343_corona6-3,0.0,0.0
138,2020-05-08 20:03:41,2020-03-09 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,34,34,0,,,3.3,,,0,,,,,,,,17,0,https://www.be.ch/portal/de/index/mediencenter/medienmitteilungen/suche.meldungNeu.html/portal/de/meldungen/mm/2020/03/20200309_1545_corona-9-3,0.982808,0.0
250,2020-05-08 20:03:41,2020-03-16 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,123,123,0,,,11.93,0.097,,0,1,,,,,,,89,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,0.841395,0.0
288,2020-05-08 20:03:41,2020-03-18 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,193,193,0,,,18.72,0.097,,0,1,,,,,,,70,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,0.894061,0.0
312,2020-05-08 20:03:41,2020-03-19 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,282,282,0,,,27.35,0.097,,0,1,,,,,,,89,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,0.900157,0.0
332,2020-05-08 20:03:41,2020-03-20 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,377,377,0,,,36.56,0.194,,0,2,,,,,,,95,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,1.118329,0.0
355,2020-05-08 20:03:41,2020-03-21 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,418,418,0,,,40.54,0.291,,0,3,,,,,,,41,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,1.381255,0.0
396,2020-05-08 20:03:41,2020-03-23 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,470,470,0,,,45.58,0.485,,0,5,,,,,,,52,2,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,2.585312,2.153383
422,2020-05-08 20:03:41,2020-03-24 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,532,532,0,,,51.6,0.582,,0,6,,,,,,,62,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,3.418043,1.934264
449,2020-05-08 20:03:41,2020-03-25 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,624,624,0,,,60.52,0.582,,0,6,,,,,,,92,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,4.36357,1.934264
475,2020-05-08 20:03:41,2020-03-26 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,660,660,0,,,64.01,0.679,,0,7,,,,,,,36,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,6.188873,2.766474
502,2020-05-08 20:03:41,2020-03-27 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,718,718,0,,,69.63,0.776,,0,8,,,,,,,58,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,6.406307,3.533475
528,2020-05-08 20:03:41,2020-03-28 02:00:00,,BE,Bern/Berne,02,46.823608,7.636667,767,767,0,,,74.39,0.873,,0,9,,,,,,,49,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,7.076482,5.896248
552,2020-05-08 20:03:41,2020-03-29 01:00:00,,BE,Bern/Berne,02,46.823608,7.636667,798,798,0,,,77.39,0.97,,0,10,,,,,,,31,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,8.547556,6.784577
578,2020-05-08 20:03:41,2020-03-30 05:00:00,,BE,Bern/Berne,02,46.823608,7.636667,826,826,0,112,21,80.11,1.261,,0,13,17,,,,,,28,3,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,12.358014,4.482386
604,2020-05-08 20:03:41,2020-03-31 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,856,856,-1,111,23,83.02,1.552,,0,16,18,,,,,,30,3,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,13.328188,4.192362
630,2020-05-08 20:03:41,2020-04-01 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,909,909,4,115,26,88.16,1.94,,0,20,21,,,,,,53,4,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,14.693071,3.782354
657,2020-05-08 20:03:41,2020-04-02 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1003,1003,-11,104,24,97.27,2.231,,0,23,20,,,,,,94,3,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,12.919125,3.693753
684,2020-05-08 20:03:41,2020-04-03 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1073,1073,5,109,30,104.06,2.522,,0,26,26,,,,,,70,3,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,11.70441,3.6271
710,2020-05-08 20:03:41,2020-04-04 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1106,1106,4,113,35,107.26,2.716,,0,28,28,,,,,,33,2,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,11.872601,4.517058
734,2020-05-08 20:03:41,2020-04-05 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1137,1137,-3,110,30,110.27,2.716,,0,28,25,,,,,,31,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,12.208535,6.193063
760,2020-05-08 20:03:41,2020-04-06 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1173,1173,7,117,35,113.76,3.006,,0,31,30,,,,,,36,3,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,13.592467,7.908036
786,2020-05-08 20:03:41,2020-04-07 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1228,1228,5,122,34,119.1,3.2,,0,33,26,,,,,,55,2,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,17.123935,9.600022
813,2020-05-08 20:03:41,2020-04-08 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1286,1286,5,127,35,124.72,3.588,,0,37,27,,,,,,58,4,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,19.139447,9.822919
839,2020-05-08 20:03:41,2020-04-09 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1335,1335,-10,117,36,129.47,3.685,,0,38,27,,,,,,49,1,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,18.416996,11.348868
864,2020-05-08 20:03:41,2020-04-10 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1375,1375,-10,107,33,133.35,4.073,,0,42,25,,,,,,40,4,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,18.234907,8.547556
890,2020-05-08 20:03:41,2020-04-11 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1419,1419,-8,99,33,137.62,4.267,,0,44,24,,,,,,44,2,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,18.203558,9.896379
914,2020-05-08 20:03:41,2020-04-12 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1441,1441,-4,95,33,139.75,4.752,,0,49,22,,,,,,22,5,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,21.667555,8.767074
940,2020-05-08 20:03:41,2020-04-13 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1456,1456,-3,92,32,141.21,4.752,,0,49,21,,,,,,15,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,27.914292,12.337866
966,2020-05-08 20:03:41,2020-04-14 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1470,1470,-7,85,31,142.57,4.752,,0,49,21,,,,,,14,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,35.977328,13.632063
992,2020-05-08 20:03:41,2020-04-15 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1489,1489,-3,82,30,144.41,5.14,,0,53,18,,,,,,19,4,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,43.511505,14.898554
1019,2020-05-08 20:03:41,2020-04-16 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1515,1515,-12,70,26,146.93,5.334,,0,55,12,,,,,,26,2,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,52.941872,15.531419
1046,2020-05-08 20:03:41,2020-04-17 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1553,1553,-1,69,25,150.62,6.498,,0,67,13,,,,,,38,12,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,46.301658,11.077157
1071,2020-05-08 20:03:41,2020-04-18 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1586,1586,2,71,22,153.82,6.692,,0,69,12,,,,,,33,2,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,40.524413,10.125257
1096,2020-05-08 20:03:41,2020-04-19 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1599,1599,7,78,20,155.08,6.692,,0,69,13,,,,,,13,0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,41.201847,10.125257
1122,2020-05-08 20:03:41,2020-04-20 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1613,1613,-7,71,19,156.43,7.08,,0,73,11,,,,,,14,4,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,43.326548,10.824758
1149,2020-05-08 20:03:41,2020-04-21 06:00:00,,BE,Bern/Berne,02,46.823608,7.636667,1622,1622,-5,66,17,157.31,7.468,,0,77,11,,,,,,9,4,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,50.784093,10.300214
