,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
37,2020-08-15 15:05:25,2020-02-27 18:17:00,,BS,Basel-Stadt,12,47.564869,7.615259,1,1,0,,,0.52,,,0,,,,,,,,,,1.0,,,,0,0,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html,0.0,0.0
47,2020-08-15 15:05:25,2020-02-28 09:15:00,,BS,Basel-Stadt,12,47.564869,7.615259,1,1,0,,,0.52,,,0,,,,,,,,,,1.0,,,,0,0,https://twitter.com/BR_Sprecher/status/1233316679863631873?s=20,0.0,0.0
56,2020-08-15 15:05:25,2020-02-29 14:23:00,,BS,Basel-Stadt,12,47.564869,7.615259,1,1,0,,,0.52,,,0,,,,,,,,,,1.0,,,,0,0,https://twitter.com/BAG_OFSP_UFSP/status/1233759578241863681?s=20,0.0,0.0
67,2020-08-15 15:05:25,2020-03-01 16:29:00,,BS,Basel-Stadt,12,47.564869,7.615259,1,1,0,,,0.52,,,0,,,,,,,,,,1.0,,,,0,0,https://www.coronavirus.bs.ch/nm/2020-coronavirus-anzahl-der-getesteten-faelle-und-zwischenstand-kita-riehen-gd.html,0.0,0.0
82,2020-08-15 15:05:25,2020-03-02 16:15:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1,1,0,,,0.52,,,0,,,,,,,,,,3.0,,,,0,0,https://www.coronavirus.bs.ch/nm/2020-coronavirus-zwei-neue-positive-faelle-in-basel-stadt-gd.html,0.0,0.0
97,2020-08-15 15:05:25,2020-03-03 16:30:00,235,BS,Basel-Stadt,12,47.564869,7.615259,3,3,0,,,1.55,,,0,,,,,,,,,,3.0,,,,2,0,https://twitter.com/BAG_OFSP_UFSP/status/1234880556095213569?s=20,3.154649,0.0
112,2020-08-15 15:05:25,2020-03-04 16:20:00,235,BS,Basel-Stadt,12,47.564869,7.615259,3,3,0,,,1.55,,,0,,,,,,,,,,3.0,,,,0,0,https://twitter.com/BAG_OFSP_UFSP/status/1235240377134862336?s=20,3.154649,0.0
130,2020-08-15 15:05:25,2020-03-05 16:15:00,235,BS,Basel-Stadt,12,47.564869,7.615259,8,8,0,1,,4.13,,,0,,,,,,,,,,3.0,,,,5,0,https://www.coronavirus.bs.ch/nm/2020-coronavirus-fuenf-neue-positive-faelle-in-basel-stadt-gd.html,1.666667,0.0
146,2020-08-15 15:05:25,2020-03-06 13:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,15,15,0,1,,7.74,,,0,,,,,,,,,,3.0,,,,7,0,https://twitter.com/BAG_OFSP_UFSP/status/1235934884167852035?s=20,1.27979,0.0
163,2020-08-15 15:05:25,2020-03-07 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,21,21,0,1,,10.83,,,0,,,,,,,,,,3.0,,,,6,0,https://twitter.com/BAG_OFSP_UFSP/status/1236249864473894914?s=20,1.138351,0.0
177,2020-08-15 15:05:25,2020-03-08 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,24,24,0,1,,12.38,,,0,,,,,,,,,,3.0,,,,3,0,https://twitter.com/BAG_OFSP_UFSP/status/1236609191831384064?s=20,1.666667,0.0
194,2020-08-15 15:05:25,2020-03-09 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,28,28,0,1,,14.44,,,0,,,,,,,,,,3.0,,,,4,0,https://twitter.com/BAG_OFSP_UFSP/status/1236973685602426881?s=20,1.551642,0.0
209,2020-08-15 15:05:25,2020-03-10 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,33,33,0,1,,17.02,,,0,,,,,,,,,,3.0,,,,5,0,https://twitter.com/BAG_OFSP_UFSP/status/1237336196772175873?s=20,2.445712,0.0
224,2020-08-15 15:05:25,2020-03-11 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,49,49,12,13,2,25.27,,4,0,,,36.0,,,,,,,3.0,,,,16,0,https://www.coronavirus.bs.ch/nm/2020-coronavirus-ende-der-quarantaenemassnahmen-im-fall-kita-riehen-gd.html,2.92771,0.0
243,2020-08-15 15:05:25,2020-03-12 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,73,73,0,13,2,37.65,0.516,4,0,1,,,,,,,,,3.0,,,,24,0,https://twitter.com/BAG_OFSP_UFSP/status/1238073089902235648?s=20 https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-todesfall-im-kanton-basel-stadt-gd.html,2.78163,0.0
263,2020-08-15 15:05:25,2020-03-13 11:30:00,235,BS,Basel-Stadt,12,47.564869,7.615259,92,92,0,13,2,47.45,0.516,4,0,1,,,,,,,,,3.0,,,,19,0,https://twitter.com/BAG_OFSP_UFSP/status/1238430659762364417?s=20,2.579182,0.0
283,2020-08-15 15:05:25,2020-03-14 10:27:00,235,BS,Basel-Stadt,12,47.564869,7.615259,100,100,0,13,2,51.57,0.516,4,0,1,,,,,,,,,3.0,,,,8,0,https://twitter.com/BAG_OFSP_UFSP/status/1238773726423941127?s=20,2.722568,0.0
320,2020-08-15 15:05:25,2020-03-16 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,143,143,0,13,2,73.75,2.063,4,0,4,,,,,,,,,122.0,,,,43,3,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-144-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,2.363533,0.0
339,2020-08-15 15:05:25,2020-03-17 11:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,164,164,17,30,2,84.58,2.063,25,0,4,,,,,,,,,141.0,,,,21,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-165-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,2.868877,0.0
360,2020-08-15 15:05:25,2020-03-18 10:15:00,235,BS,Basel-Stadt,12,47.564869,7.615259,181,181,10,40,2,93.35,2.063,36,0,4,,,,,,,,,160.0,,,,17,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-182-bestaetigte-faelle-im-kanton-basel-stadt-treffen-mit-allen-spitaelern-gd.html,3.816732,2.5
383,2020-08-15 15:05:25,2020-03-19 10:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,220,220,0,40,2,113.46,2.063,44,0,4,,,,,,,,,195.0,,,,39,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-222-bestaetigte-faelle-basel-stadt-trifft-gemeinsam-mit-den-spitaelern-vorkehrungen-fuer-intensiv--und-beatmungskapazitaeten-gd.html,3.975202,2.5
404,2020-08-15 15:05:25,2020-03-20 09:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,270,270,5,45,2,139.25,2.063,46,0,4,,,,,,,,,227.0,,,,50,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-272-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,3.489282,2.5
427,2020-08-15 15:05:25,2020-03-21 09:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,297,297,1,46,2,153.17,2.579,57,0,5,,,,,,,,,237.0,,,,27,1,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-299-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,4.741818,15.531419
447,2020-08-15 15:05:25,2020-03-22 09:30:00,235,BS,Basel-Stadt,12,47.564869,7.615259,356,356,4,50,2,183.6,2.579,73,0,5,,,,,,,,,259.0,,,,59,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-358-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,4.471546,15.531419
468,2020-08-15 15:05:25,2020-03-23 09:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,374,374,6,56,2,192.88,2.579,78,0,5,,,,,,,,,269.0,,,,18,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-376-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,4.775328,15.531419
494,2020-08-15 15:05:25,2020-03-24 08:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,410,410,2,58,2,211.45,2.579,105,0,5,,,,,,,,,284.0,,,,36,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-414-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,5.567182,15.531419
521,2020-08-15 15:05:25,2020-03-25 09:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,462,462,0,58,2,238.27,4.126,128,0,8,,,,,,,,,299.0,,,,52,3,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-466-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,6.452167,5.0
547,2020-08-15 15:05:25,2020-03-26 09:30:00,235,BS,Basel-Stadt,12,47.564869,7.615259,501,501,16,74,8,258.38,6.189,155,0,12,,,,,,,,,318.0,20.0,,,39,4,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-505-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,6.628243,3.95872
574,2020-08-15 15:05:25,2020-03-27 09:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,530,530,2,76,8,273.34,6.704,191,0,13,,,,,,,,,335.0,19.0,,,29,1,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-534-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,8.709055,3.6271
600,2020-08-15 15:05:25,2020-03-28 09:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,569,569,3,79,11,293.45,6.704,211,0,13,,,,,,,,,357.0,20.0,,,39,0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-573-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,8.259134,3.6271
