,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
76,2020-05-28 22:04:47,2020-03-04 17:00:00,,LU,Luzern,03,47.067763,8.1102,0,0,0,,,0.0,,,0,,,,,,,,,,0,0,https://web.archive.org/web/20200304173939/https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,0.0,0.0
299,2020-05-28 22:04:47,2020-03-18 15:00:00,,LU,Luzern,03,47.067763,8.1102,65,65,0,,,15.99,,,0,,,,,,,,,,65,0,https://web.archive.org/web/20200318191404/https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,0.0,0.0
342,2020-05-28 22:04:47,2020-03-20 08:40:00,,LU,Luzern,03,47.067763,8.1102,92,92,0,,,22.63,,,0,,,,,,,,,,27,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,0.0,0.0
365,2020-05-28 22:04:47,2020-03-21 10:00:00,,LU,Luzern,03,47.067763,8.1102,109,109,0,,,26.81,0.246,,0,1,,,,,,,,,17,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus;https://newsletter.lu.ch/inxmail/html_mail.jsp?params=7UGt4J1Fx6OIONHlV9upAAuOzkQ6ZmQA%2FxRrLjJkeDWZdweUdKfwhAE94i2Apium%2F6rIvcF2Z5MaTtV52A77W2jrwVmrkZ8UhFPVmHC4iuI%3D,0.0,0.0
385,2020-05-28 22:04:47,2020-03-22 10:00:00,,LU,Luzern,03,47.067763,8.1102,131,131,0,,,32.23,0.246,,0,1,,,,,,,,,22,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,0.0,0.0
406,2020-05-28 22:04:47,2020-03-23 10:00:00,,LU,Luzern,03,47.067763,8.1102,156,156,0,,,38.38,0.246,,0,1,,,,,,,,,25,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,0.0,0.0
432,2020-05-28 22:04:47,2020-03-24 10:00:00,,LU,Luzern,03,47.067763,8.1102,205,205,0,,,50.43,0.492,,0,2,,,,,,,,,49,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,3.017297,0.0
459,2020-05-28 22:04:47,2020-03-25 10:00:00,,LU,Luzern,03,47.067763,8.1102,228,228,0,,,56.09,0.492,,0,2,,,,,,,,,23,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,3.818753,0.0
485,2020-05-28 22:04:47,2020-03-26 10:00:00,,LU,Luzern,03,47.067763,8.1102,253,253,0,,,62.24,0.738,,0,3,,,,,,,,,25,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,4.115873,3.154649
512,2020-05-28 22:04:47,2020-03-27 10:00:00,,LU,Luzern,03,47.067763,8.1102,287,287,0,,,70.6,0.738,,0,3,,,,,,,,,34,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,4.418976,3.154649
538,2020-05-28 22:04:47,2020-03-28 10:00:00,,LU,Luzern,03,47.067763,8.1102,317,317,0,,,77.98,0.984,,0,4,,,,,,,,,30,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,4.887887,2.5
562,2020-05-28 22:04:47,2020-03-29 09:00:00,,LU,Luzern,03,47.067763,8.1102,339,339,0,,,83.39,1.23,,0,5,,,,,,,,,22,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,6.890266,3.782354
588,2020-05-28 22:04:47,2020-03-30 09:00:00,,LU,Luzern,03,47.067763,8.1102,351,351,0,,,86.35,1.476,,0,6,,,,,,,,,12,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,8.032939,3.154649
614,2020-05-28 22:04:47,2020-03-31 09:00:00,,LU,Luzern,03,47.067763,8.1102,375,375,0,,,92.25,1.722,,0,7,,,,,,,,,24,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,8.806643,4.090339
640,2020-05-28 22:04:47,2020-04-01 09:00:00,,LU,Luzern,03,47.067763,8.1102,401,401,0,57,12,98.65,1.722,,0,7,,,,,,,,,26,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,10.361588,4.090339
667,2020-05-28 22:04:47,2020-04-02 09:00:00,,LU,Luzern,03,47.067763,8.1102,422,422,9,66,11,103.81,1.722,,0,7,,,,,,,,,21,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,12.113572,6.193063
694,2020-05-28 22:04:47,2020-04-03 09:00:00,,LU,Luzern,03,47.067763,8.1102,449,449,-17,49,12,110.46,1.722,,0,7,,,,,,,,,27,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,12.33258,10.300214
720,2020-05-28 22:04:47,2020-04-04 09:00:00,,LU,Luzern,03,47.067763,8.1102,469,469,0,49,12,115.38,1.722,,0,7,,,,,,,,,20,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,11.958378,22.482781
744,2020-05-28 22:04:47,2020-04-05 09:00:00,,LU,Luzern,03,47.067763,8.1102,478,478,0,49,12,117.59,2.214,,0,9,,,,,,,,,9,2,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,14.280817,13.790437
769,2020-05-28 22:04:47,2020-04-06 09:00:00,,LU,Luzern,03,47.067763,8.1102,497,497,12,61,6,122.26,2.214,,0,9,,,,,,,,,19,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,16.147596,13.790437
796,2020-05-28 22:04:47,2020-04-07 09:00:00,,LU,Luzern,03,47.067763,8.1102,509,509,-4,57,6,125.22,2.214,,0,9,,,,,,,,,12,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,18.489575,13.790437
822,2020-05-28 22:04:47,2020-04-08 09:00:00,,LU,Luzern,03,47.067763,8.1102,527,527,0,57,6,129.64,2.214,,0,9,,,,,,,,,18,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,21.636824,13.790437
848,2020-05-28 22:04:47,2020-04-09 11:00:00,,LU,Luzern,03,47.067763,8.1102,542,542,0,62,6,133.33,2.214,,0,9,,,,,,,,,15,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,23.957268,13.790437
874,2020-05-28 22:04:47,2020-04-10 11:00:00,,LU,Luzern,03,47.067763,8.1102,560,560,7,69,6,137.76,2.214,,0,9,,,,,,,,,18,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,21.889865,
900,2020-05-28 22:04:47,2020-04-11 09:00:00,,LU,Luzern,03,47.067763,8.1102,568,568,0,69,6,139.73,2.46,,0,10,,,,,,,,,8,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,25.954465,32.894067
924,2020-05-28 22:04:47,2020-04-12 09:00:00,,LU,Luzern,03,47.067763,8.1102,576,576,0,60,5,141.7,2.46,,0,10,,,,,,,,,8,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,28.02641,32.894067
950,2020-05-28 22:04:47,2020-04-13 09:00:00,,LU,Luzern,03,47.067763,8.1102,580,580,-20,40,5,142.68,2.46,,0,10,,,,,,,,,4,0,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,36.166381,32.894067
975,2020-05-28 22:04:47,2020-04-14 09:00:00,,LU,Luzern,03,47.067763,8.1102,589,589,7,47,4,144.9,2.706,,0,11,,,,,,,,,9,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,41.675425,17.270762
1002,2020-05-28 22:04:47,2020-04-15 09:00:00,,LU,Luzern,03,47.067763,8.1102,596,596,-1,46,4,146.62,2.952,,0,12,,,,,,,,,7,1,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,55.626322,12.047104
